fixture_id,home_id,home_name,away_id,away_name,score_home,score_away,timestamp,venue_id,venue,venue_city,league,league_id,league_country,winner_home,winner_away
883416,4212,Kokand-1912,4225,Surkhon,2.0,3.0,1664803800,19479.0,O'zbekiston Stadioni,Yaypan,Super League,369,Uzbekistan,False,True
883425,4214,Metalourg,4210,Bunyodkor,1.0,2.0,1665149400,3214.0,Metallurg Markaziy Stadion,Bekabad,Super League,369,Uzbekistan,False,True
883429,4212,Kokand-1912,3695,Lokomotiv,0.0,0.0,1665230400,19479.0,O'zbekiston Stadioni,Yaypan,Super League,369,Uzbekistan,,
883426,4219,Olmaliq,4221,Qizilqum,0.0,1.0,1665234000,3218.0,OKMK Sport Majmuasi,Almalyk,Super League,369,Uzbekistan,False,True
883423,18723,Olympic,4217,Neftchi,1.0,1.0,1665237600,,Stadion Majmuasi,Tashkent,Super League,369,Uzbekistan,,
883428,4225,Surkhon,4220,Pakhtakor,1.0,1.0,1665316800,3218.0,OKMK Sport Majmuasi,Almalyk,Super League,369,Uzbekistan,,
883424,4216,Navbahor,4224,Dinamo Samarqand,2.0,0.0,1665320400,3216.0,Markaziy Stadion,Namangan,Super League,369,Uzbekistan,True,False
883427,4215,Nasaf,4223,Sogdiana,1.0,1.0,1665324000,3215.0,Markaziy Stadion,Qarshi,Super League,369,Uzbekistan,,
883436,3695,Lokomotiv,18723,Olympic,1.0,2.0,1666013400,2485.0,Stadion Lokomotiv,Tashkent,Super League,369,Uzbekistan,False,True
883434,4224,Dinamo Samarqand,4214,Metalourg,0.0,1.0,1666013400,3223.0,Stadion Dinamo,Samarqand,Super League,369,Uzbekistan,False,True
883435,4217,Neftchi,4216,Navbahor,1.0,2.0,1666099800,7792.0,Stadion Istiqlol,Fergana,Super League,369,Uzbekistan,False,True
883430,4220,Pakhtakor,4212,Kokand-1912,5.0,2.0,1666099800,3219.0,Paxtakor Markaziy Stadion,Tashkent,Super League,369,Uzbekistan,True,False
883431,4223,Sogdiana,4225,Surkhon,0.0,1.0,1666099800,3222.0,So'g'diyona Sport Majmuasi,Jizzax,Super League,369,Uzbekistan,False,True
883433,4210,Bunyodkor,4219,Olmaliq,0.0,1.0,1666186200,,Stadion Majmuasi,Tashkent,Super League,369,Uzbekistan,False,True
883432,4221,Qizilqum,4215,Nasaf,1.0,2.0,1666186200,3220.0,Yoshlar Sport Majmuasi,Navoiy,Super League,369,Uzbekistan,False,True
883443,4220,Pakhtakor,3695,Lokomotiv,2.0,0.0,1666618200,3219.0,Paxtakor Markaziy Stadion,Tashkent,Super League,369,Uzbekistan,True,False
883440,4225,Surkhon,4221,Qizilqum,2.0,0.0,1666618200,3218.0,OKMK Sport Majmuasi,Almalyk,Super League,369,Uzbekistan,True,False
883438,4214,Metalourg,4217,Neftchi,1.0,0.0,1666704600,3214.0,Metallurg Markaziy Stadion,Bekabad,Super League,369,Uzbekistan,True,False
883441,4215,Nasaf,4210,Bunyodkor,1.0,1.0,1666704600,3215.0,Markaziy Stadion,Qarshi,Super League,369,Uzbekistan,,
883437,4216,Navbahor,18723,Olympic,1.0,1.0,1666704600,3216.0,Markaziy Stadion,Namangan,Super League,369,Uzbekistan,,
883442,4212,Kokand-1912,4223,Sogdiana,2.0,1.0,1666791000,19479.0,O'zbekiston Stadioni,Yaypan,Super League,369,Uzbekistan,True,False
883439,4219,Olmaliq,4224,Dinamo Samarqand,4.0,0.0,1666791000,3218.0,OKMK Sport Majmuasi,Almalyk,Super League,369,Uzbekistan,True,False
883444,4217,Neftchi,4219,Olmaliq,1.0,3.0,1667395800,7792.0,Stadion Istiqlol,Fergana,Super League,369,Uzbekistan,False,True
883447,4220,Pakhtakor,4223,Sogdiana,2.0,0.0,1667395800,3219.0,Paxtakor Markaziy Stadion,Tashkent,Super League,369,Uzbekistan,True,False
883446,4221,Qizilqum,4212,Kokand-1912,1.0,1.0,1667395800,3220.0,Yoshlar Sport Majmuasi,Navoiy,Super League,369,Uzbekistan,,
883449,18723,Olympic,4214,Metalourg,2.0,1.0,1667395800,,Stadion Majmuasi,Tashkent,Super League,369,Uzbekistan,True,False
883450,3695,Lokomotiv,4216,Navbahor,0.0,2.0,1667482200,2485.0,Stadion Lokomotiv,Tashkent,Super League,369,Uzbekistan,False,True
883445,4210,Bunyodkor,4225,Surkhon,2.0,1.0,1667482200,,Stadion Majmuasi,Tashkent,Super League,369,Uzbekistan,True,False
883448,4215,Nasaf,4224,Dinamo Samarqand,1.0,0.0,1667482200,3215.0,Markaziy Stadion,Qarshi,Super League,369,Uzbekistan,True,False
883453,4225,Surkhon,4224,Dinamo Samarqand,1.0,4.0,1667811600,,Stadion Majmuasi,Tashkent,Super League,369,Uzbekistan,False,True
883451,4212,Kokand-1912,4210,Bunyodkor,0.0,1.0,1667819700,19479.0,O'zbekiston Stadioni,Yaypan,Super League,369,Uzbekistan,False,True
883455,4219,Olmaliq,18723,Olympic,6.0,0.0,1667819700,3218.0,OKMK Sport Majmuasi,Almalyk,Super League,369,Uzbekistan,True,False
883457,4223,Sogdiana,3695,Lokomotiv,2.0,2.0,1667819700,3222.0,So'g'diyona Sport Majmuasi,Jizzax,Super League,369,Uzbekistan,,
883456,4214,Metalourg,4216,Navbahor,0.0,1.0,1667827800,3214.0,Metallurg Markaziy Stadion,Bekabad,Super League,369,Uzbekistan,False,True
883454,4215,Nasaf,4217,Neftchi,0.0,1.0,1667827800,3215.0,Markaziy Stadion,Qarshi,Super League,369,Uzbekistan,False,True
883452,4220,Pakhtakor,4221,Qizilqum,6.0,0.0,1667827800,3219.0,Paxtakor Markaziy Stadion,Tashkent,Super League,369,Uzbekistan,True,False
883463,3695,Lokomotiv,4214,Metalourg,3.0,1.0,1668254400,2485.0,Stadion Lokomotiv,Tashkent,Super League,369,Uzbekistan,True,False
883459,4210,Bunyodkor,4220,Pakhtakor,0.0,2.0,1668254400,,Stadion Majmuasi,Tashkent,Super League,369,Uzbekistan,False,True
883462,4216,Navbahor,4219,Olmaliq,3.0,1.0,1668254400,3216.0,Markaziy Stadion,Namangan,Super League,369,Uzbekistan,True,False
883460,4217,Neftchi,4225,Surkhon,3.0,0.0,1668254400,7792.0,Stadion Istiqlol,Fergana,Super League,369,Uzbekistan,True,False
